ADJ,value
straight,2374
corrupt,425
peaceful,356
puertorican,345
different,268
homophobic,243
historical,240
rican,239
beautiful,238
great,195
proud,195
normal,191
misogynist,182
amazing,166
poor,162
revolutionary,134
popular,130
epic,126
historic,113
social,109
incredible,104
