VERB,value
resign,2222
go,1372
protest,1303
tell,1234
deberían,1088
’,527
get,435
take,406
pelo,388
revoke,344
convenzo,329
snap,327
let,291
olvidaremos,290
win,285
think,281
force,278
understand,250
come,248
fight,244
gather,238
know,223
show,218
want,201
look,199
happen,197
need,197
be,195
call,194
comenzaron,183
