ADJ,value
straight,2374
corrupt,425
🇵,423
peaceful,356
puertorican,345
estos,315
puerto,306
different,268
homophobic,243
historical,240
rican,239
beautiful,238
great,195
proud,195
normal,191
misogynist,182
amazing,166
poor,162
del,155
revolutionary,134
ofreció,132
popular,130
epic,126
enarbolar,123
épicamente,123
lxs,117
historic,113
social,109
para,108
incredible,104
