ADJ,value
…,3013
on,2946
unir,693
🏽,462
governor,371
COMPLETO,367
vencer,331
protests,304
_,303
yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeees,301
sentir,238
gathered,236
haber,226
grupal,204
normal,190
impresionante,156
Bravo,156
🏻,151
popular,133
positivo,125
lindar,124
épicamente,123
resigned,121
pólemico,117
joven,117
social,115
puertorriqueño,108
carajo,105
resigns,104
rico,104
