NOUN,value
…,4814
The,2420
democracy,2377
days,2344
display,2321
of,2315
for,2195
and,2183
poblar,1746
mundo,1414
resign,1387
país,1309
lección,1265
millions,1220
protested,1210
corazón,1119
gobernador,1081
lat,1079
renunciar,984
🏽,880
to,857
the,788
julio,757
️,708
gente,610
comenzar,594
noche,503
Gracias,472
historia,465
orgullo,455
