,sentence,score,magnitude
3086,"https://t.co/iRa3LguU8X
this makes me so happy for all of them ‼️‼️
Felicitaciones Puerto Riqueños.👏 #NuncaEnColombia🙄
Y acá cuántos artistas famosos se unirán al pueblo para exigir un alto a la corrupción y a los corruptos?…",0.800000011920929,0.800000011920929
3087,"https://t.co/Bidg5QgkXt
RT @FALPOsfm: FELICIDADES PUERTO RICO y Gracias por ser Ejemplo para América Latina y el Caribe!",0.8999999761581421,0.8999999761581421
3088,Tu decisión y persistencia en las Calles t…,0.10000000149011612,0.10000000149011612
3089,"Puñeta, sabemos que queda trabajo por hacer.",-0.20000000298023224,0.20000000298023224
3090,"Sabemos que quedan ratas por sacar, pero dejen que la gente celebre. H… https://t.co/gkGw6FoAQ9
RT @PedroJulio: ¡PRESENTES!",0.0,0.0
3091,Siempre en pie de lucha por nuestra patria.,0.800000011920929,0.800000011920929
3092,Honrado de marchar junto a esta gran guerrera.,0.699999988079071,0.699999988079071
3093,¡La lucha sigue!,0.30000001192092896,0.30000001192092896
3094,#Ri…,0.10000000149011612,0.10000000149011612
3095,"RT @kontrakapital_: Renunció Rosello, pero el proceso aun no acaba.",-0.20000000298023224,0.20000000298023224
3096,¿Quién lo sustituirá; qué alianzas se formarán para las próximas elecci…,0.800000011920929,0.800000011920929
3097,NICARAGUA🇳🇮 Y VENEZUELA 🇻🇪  ahora nos toca.,-0.30000001192092896,0.30000001192092896
3098,"👏👏👏👏👏 Un aplauso para el pueblo boricua
RT @SinEmbargoMX: Residente, Bad Bunny y Ricky Martín y puertoriqueños celebran la renuncia de Ricardo Rosselló como Gobernador de Puerto R…",0.10000000149011612,0.10000000149011612
3099,RT @AJMuniz_IZX: PUERTO RICO SE UNIÓ...,0.0,0.0
3100,PUERTO RICO LO LOGRÓ!!!,0.0,0.0
3101,#FuimosMasYNoTuvimosMiedo  #RickyGameOver #RickyRenunció https://t.co/xsaBl…,0.10000000149011612,0.10000000149011612
3102,"Hoy aunque sea feriado trabajo con doble felicidad: #RickyRenuncio y estoy solo 🤣
💪🏽💪🏽💪🏽🙌🏽🙌🏽🙌🏽
Esto me da felicidad y ganas de llorar.",0.800000011920929,0.800000011920929
3103,Puerto Rico que grande eres!!!!,0.20000000298023224,0.20000000298023224
3104,#somosmásynotenemosmiedo…,0.10000000149011612,0.10000000149011612
3105,"https://t.co/v2g6eQ65gv
Para mí, Larry Seilhamer Rodríguez debería ser el que termine el cuatrienio.",0.30000001192092896,0.30000001192092896
3106,"#RickyRenunció
Orgullosa de mi gente, 🇵🇷🇵🇷🇵🇷 viva mi isla
Aquí estamos!!!!!",0.8999999761581421,0.8999999761581421
3107,"#25deJulio #RickyRenuncio 🇵🇷🇵🇷🇵🇷🇵🇷💪🏽💪🏽💪🏽💪🏽 https://t.co/a4mob6GvGC
🙏🙏🙏🙏
Ese final con “Dios proteja a Puerto Rico” sonó a q se sacó una nuclear y la puede usar en cualquier momento #RickyRenuncio
Ciclomanifestación en las calles de San Juan de Puerto Rico.",0.4000000059604645,0.4000000059604645
3108,"🚴‍♀️🚴‍♀️ #RickyRenuncio
It was amazing to see this monumental change happen in real life.",0.8999999761581421,0.8999999761581421
3109,"#victory #RickyRenuncio #PuertoRico
RT @ivanelisse12: ¡Que orgullo!",0.6000000238418579,0.6000000238418579
3110,"Mi raza es brava e hizo historia 🇵🇷 #RickyRenunció
I was wondering about that last night 😢
RT @aurora_rjcx: In the name of liberty, justice, and unity, let’s celebrate  ¡Que Viva Puerto Rico!",0.0,0.0
3111,🇵🇷❣️ #RickyRenuncio #WandaRenuncia htt…,0.30000001192092896,0.30000001192092896
3112,El día de ayer tuvo unas 32 horas.,0.5,0.5
3113,"#RickyRenunció #WandaRenuncia
RT @Tuiteameste: De qué otra manera van a celebrar en Puerto Rico si no va a ser con Reguetón y de Bad Bunny https://t.co/ifYjOgP4ZM
Así desperté 😭😭😭 celebrando 🥳 este momento histórico con el corazón hinchado 💖✨💖✨💖 lleno de orgullo por mi gente, m… https://t.co/LxD8JFCsmd
RT @Elixemtor: Están bajo un estado de derecho, instituciones democráticas , donde se respetó el derecho a la protesta y los funcionarios q…
@ricardorossello solo es un político corrupto y no un dictador como @NicolasMaduro con fuerzas paramilitares a su s… https://t.co/TQSuUpzblI
Una grandísima victoria para el pueblo Boricua!",-0.699999988079071,0.699999988079071
3114,🇵🇷🙌🏽👏🏽  Enhorabuena.,0.8999999761581421,0.8999999761581421
3115,"#RickyRenuncio
#RickyRenuncio Vamos gringos, digan (hagan) lo suyo: https://t.co/84eHiJWT3Y
El perreo combativo puede con todo.",-0.20000000298023224,0.20000000298023224
3116,"#NoPudoConElEmpuje #RickyRenuncio #WandaRenuncia
The Puerto Rican ppl fought hard  and they have won 🇵🇷 *blasts bad bunny te boté* my little island did that 😢  #RickyRenunció
RT @LaCricaEMarta: ¿Ahora canto de cabrón?",0.20000000298023224,0.20000000298023224
3117,¡Vete pa’l carajo!,-0.5,0.5
3118,"https://t.co/G21HDbF0PH
🇵🇷 ¡PUERTO RICO GRANDE!",0.5,0.5
3119,🇵🇷 ¡PUEBLO BORICUA INMENSO!,0.20000000298023224,0.20000000298023224
3120,"🇵🇷  #RickyRenuncio @Residente  #RickySeFue #RickyTeBotamos
Los artistas colombianos suelen tener como referencia a los artistas puertorriqueños ojalá y citen como fuente las…",0.5,0.5
3121,"https://t.co/sb5RX8nLtf
Mera, mamón, usted esta cancelado hasta la próxima generación y cuidao' #VendePatria
#RickyRenuncio https://t.co/OEppVWfn1P
Momento en que manifestantes abrazan a policias 😀💪 #RickyRenunció @DavidBegnaud https://t.co/84ZRQHXJe3
que video mas bello!!!",0.10000000149011612,0.10000000149011612
3122,y el orgullo que siento no se puede explicar🇵🇷❤️ PUERTO RICO TE AMO TANTO!!,0.800000011920929,0.800000011920929
3123,@DavidBegnaud I can't thank you enough for your coverage of Puerto Rico.,0.0,0.0
3124,"Both in the aftermath of María and now, yo… https://t.co/J1zu110MHz
Primero Guatemala, ahora Puerto Rico...",-0.20000000298023224,0.20000000298023224
3125,ya nos falta poquito!!!!,0.20000000298023224,0.20000000298023224
3126,@xbzzbz https://t.co/kNbw7ZchcM #ประชุมสภา #SeoulTownRoad #hottestdayoftheyear #RickyRenuncio #KANGDANIEL_뭐해 #강다니엘…,-0.699999988079071,0.699999988079071
3127,"https://t.co/FtNvYyeiRy
RT @QueenBeeNica_: Nicaragua pronto también será libre, y viviremos en democracia, hay que tener fe, porque el tiempo de Dios es perfecto.…",0.800000011920929,0.800000011920929
3128,Esto.,0.0,0.0
3129,"Dio un discurso de retiro, no de renuncia y responsabilidad.",-0.5,0.5
3130,"See, this is what happens when you go after our World Treasure, Ricky Martin.",0.6000000238418579,0.6000000238418579
3131,Never go after Ricky Martin!,-0.10000000149011612,0.10000000149011612
3132,We will…,0.20000000298023224,0.20000000298023224
3133,"https://t.co/7s1zi1SK1e
💕🇵🇷💕🇵🇷💕🇵🇷💕🇵🇷💕
No basta con decirlo, hay que demonstrarlo #RickyRenunció #WandaRenuncia #PuertoRicoSeRespeta #nicorruptosnicobardes
Deceased 💀💀   (I understand the complexity of interseccions and circumstances, btw.",0.4000000059604645,0.4000000059604645
3134,"Don't @ me)   #WandaRenuncia
RT @dOVd5ILE8ok8l0N: @xbzzbz https://t.co/kNbw7ZchcM #ประชุมสภา #SeoulTownRoad #hottestdayoftheyear #RickyRenuncio #KANGDANIEL_뭐해 #강다니엘 #AB…",-0.699999988079071,0.699999988079071
3135,RT @kortizart: Puñeta so happy!!,0.800000011920929,0.800000011920929
3136,#rickyrenunció  has lifted my spirits.,0.10000000149011612,0.10000000149011612
3137,PR has shown the world the power of organization &amp; peaceful protest…,-0.4000000059604645,0.4000000059604645
3138,Así somos!,0.5,0.5
3139,RT @Dave_AB3: toda esa gente que dijo “cuando ricky renuncie voy hacer esto...”,-0.20000000298023224,0.20000000298023224
